species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Loriculus sclateri,loriculus sclateri,loriculus_sclateri,0.09840402578154303,-0.17612475536390998,0.005216247538047074,TRUE,TRUE,TRUE,50%
Megaceryle maxima,megaceryle maxima,megaceryle_maxima,0.09337812411091076,-0.2069788421141322,0.005499714873255691,TRUE,TRUE,TRUE,50%
Scotopelia peli,scotopelia peli,scotopelia_peli,-0.013503994823133858,-0.16439498872657238,0.005506866393644124,TRUE,TRUE,TRUE,50%
Trochalopteron peninsulae,trochalopteron peninsulae,trochalopteron_peninsulae,-0.01337466067132654,-0.16357057166933256,0.00556752989545816,TRUE,TRUE,TRUE,50%
Xema sabini,xema sabini,xema_sabini,-0.017776892804087226,-0.20840022274921174,0.005660014241274917,TRUE,TRUE,TRUE,50%
Cardellina pusilla,cardellina pusilla,cardellina_pusilla,0.0976035902861561,-0.20048913213167305,0.005681969124277545,TRUE,TRUE,TRUE,50%
Pluvialis fulva,pluvialis fulva,pluvialis_fulva,0.09312349084356504,-0.1552654430142131,0.005687475627664926,TRUE,TRUE,TRUE,50%
Cissopis leverianus,cissopis leverianus,cissopis_leverianus,0.0896609311833901,-0.15064448675214975,0.0057095405273998945,TRUE,TRUE,TRUE,50%
Chamaetylas poliocephala,chamaetylas poliocephala,chamaetylas_poliocephala,0.02594791537592654,-0.23972560207495108,0.005752752079454614,TRUE,TRUE,TRUE,50%
Pteroglossus azara,pteroglossus azara,pteroglossus_azara,0.10167065738089243,-0.1781070235290917,0.0057666390653176355,TRUE,TRUE,TRUE,50%
Penelope obscura,penelope obscura,penelope_obscura,0.006611251289589237,-0.1418879924309379,0.005838978919107645,TRUE,TRUE,TRUE,50%
Inezia tenuirostris,inezia tenuirostris,inezia_tenuirostris,-0.014391648233128848,-0.2171031621704789,0.00589574665757718,TRUE,TRUE,TRUE,50%
Ptyonoprogne fuligula,ptyonoprogne fuligula,ptyonoprogne_fuligula,0.04302170911698434,-0.24057254829612035,0.005901277842206894,TRUE,TRUE,TRUE,50%
Cecropis senegalensis,cecropis senegalensis,cecropis_senegalensis,0.10253765254553658,-0.17950334596924458,0.005912612122388752,TRUE,TRUE,TRUE,50%
Helopsaltes ochotensis,helopsaltes ochotensis,helopsaltes_ochotensis,0.005593557515820544,-0.14185815638308966,0.005960045159870532,TRUE,TRUE,TRUE,50%
Dichrozona cincta,dichrozona cincta,dichrozona_cincta,0.10279438955498016,-0.18445423421623777,0.0059681760109711966,TRUE,TRUE,TRUE,50%
Goura scheepmakeri,goura scheepmakeri,goura_scheepmakeri,0.03212936985104585,-0.13143276006936444,0.0059938860078844695,TRUE,TRUE,TRUE,50%
Vanellus coronatus,vanellus coronatus,vanellus_coronatus,-0.01681189525122099,-0.16387958079636436,0.006127090728281381,TRUE,TRUE,TRUE,50%
Sporophila bouvreuil,sporophila bouvreuil,sporophila_bouvreuil,0.09536469842858913,-0.15355284209977435,0.006222973564121224,TRUE,TRUE,TRUE,50%
Pachyramphus castaneus,pachyramphus castaneus,pachyramphus_castaneus,0.07120368973508252,-0.13435740577651722,0.006243182681825481,TRUE,TRUE,TRUE,50%
Ailuroedus crassirostris,ailuroedus crassirostris,ailuroedus_crassirostris,0.0024016423913143146,-0.23450127019489822,0.0062483111929878925,TRUE,TRUE,TRUE,50%
Drymophila rubricollis,drymophila rubricollis,drymophila_rubricollis,-0.0014630664323389902,-0.23242612249689545,0.006295295429108836,TRUE,TRUE,TRUE,50%
Netta peposaca,netta peposaca,netta_peposaca,0.09268103936489704,-0.14895709526470385,0.006363835685275361,TRUE,TRUE,TRUE,50%
Molothrus bonariensis,molothrus bonariensis,molothrus_bonariensis,0.09765122860355721,-0.15421371262501615,0.006522384674986717,TRUE,TRUE,TRUE,50%
Fraseria plumbea,fraseria plumbea,fraseria_plumbea,0.10006671103003488,-0.20653170749120983,0.006643332701323054,TRUE,TRUE,TRUE,50%
Gypaetus barbatus,gypaetus barbatus,gypaetus_barbatus,-0.015203191095289932,-0.22382196979359056,0.006831894241758795,TRUE,TRUE,TRUE,50%
Micrastur buckleyi,micrastur buckleyi,micrastur_buckleyi,-0.008440096187540626,-0.23056430596252211,0.006845501415033704,TRUE,TRUE,TRUE,50%
Thamnophilus melanonotus,thamnophilus melanonotus,thamnophilus_melanonotus,-0.02503027694715865,-0.17373955628994808,0.006856066590777236,TRUE,TRUE,TRUE,50%
Turnix melanogaster,turnix melanogaster,turnix_melanogaster,0.10128423197745615,-0.20655711442462216,0.006876306212238899,TRUE,TRUE,TRUE,50%
Petrochelidon spilodera,petrochelidon spilodera,petrochelidon_spilodera,-0.025126958186728974,-0.17352464678620727,0.006889351258378153,TRUE,TRUE,TRUE,50%
Triclaria malachitacea,triclaria malachitacea,triclaria_malachitacea,0.05916709223938406,-0.24160618369585718,0.006913473463936804,TRUE,TRUE,TRUE,50%
Basilornis galeatus,basilornis galeatus,basilornis_galeatus,0.1064632117269511,-0.19364989282803274,0.006961584365287518,TRUE,TRUE,TRUE,50%
Numenius phaeopus,numenius phaeopus,numenius_phaeopus,-0.013024900913528677,-0.2273129615705656,0.006990668206781184,TRUE,TRUE,TRUE,50%
Turacoena sulaensis,turacoena sulaensis,turacoena_sulaensis,0.1071257729685781,-0.19232463947777365,0.007036547522373539,TRUE,TRUE,TRUE,50%
Tersina viridis,tersina viridis,tersina_viridis,0.0905260648432659,-0.1416656760795358,0.007105375282507794,TRUE,TRUE,TRUE,50%
Turdus lawrencii,turdus lawrencii,turdus_lawrencii,0.10296781382236658,-0.2057095611271492,0.007121193870798729,TRUE,TRUE,TRUE,50%
Dendroma erythroptera,dendroma erythroptera,dendroma_erythroptera,0.09158648179615353,-0.14221895988233496,0.007169649264571035,TRUE,TRUE,TRUE,50%
Patagioenas plumbea,patagioenas plumbea,patagioenas_plumbea,0.07699524713419277,-0.13154310069565375,0.007317521449974549,TRUE,TRUE,TRUE,50%
Muscicapa epulata,muscicapa epulata,muscicapa_epulata,0.1035912259293176,-0.15634527522133543,0.007344595445290814,TRUE,TRUE,TRUE,50%
Chlorophoneus multicolor,chlorophoneus multicolor,chlorophoneus_multicolor,0.08087059752912272,-0.23283294626841716,0.007359731805301625,TRUE,TRUE,TRUE,50%
Coragyps atratus,coragyps atratus,coragyps_atratus,0.09877586024688047,-0.2151863577857097,0.007383601960429108,TRUE,TRUE,TRUE,50%
Oenanthe scotocerca,oenanthe scotocerca,oenanthe_scotocerca,0.08453795220399844,-0.23030030394287598,0.007398589433589996,TRUE,TRUE,TRUE,50%
Anumara forbesi,anumara forbesi,anumara_forbesi,8.281494733731573e-4,-0.13737551901523218,0.00740011770724436,TRUE,TRUE,TRUE,50%
Calyptocichla serinus,calyptocichla serinus,calyptocichla_serinus,0.021738628582430638,-0.12764603936717997,0.007401419719029746,TRUE,TRUE,TRUE,50%
Hypsipetes siquijorensis,hypsipetes siquijorensis,hypsipetes_siquijorensis,0.04231305719177418,-0.12404231323004367,0.0074396998214313875,TRUE,TRUE,TRUE,50%
Eurystomus glaucurus,eurystomus glaucurus,eurystomus_glaucurus,0.10936571568320413,-0.1715400437312705,0.007440357002795598,TRUE,TRUE,TRUE,50%
Macheiramphus alcinus,macheiramphus alcinus,macheiramphus_alcinus,0.08331221760157491,-0.13438731542479235,0.007440612225981269,TRUE,TRUE,TRUE,50%
Myiothlypis leucoblephara,myiothlypis leucoblephara,myiothlypis_leucoblephara,0.10171584370098688,-0.1519402998521583,0.007477133362051559,TRUE,TRUE,TRUE,50%
Calcarius pictus,calcarius pictus,calcarius_pictus,0.03707390067956303,-0.12416212197739115,0.00749921796654931,TRUE,TRUE,TRUE,50%
Spatula platalea,spatula platalea,spatula_platalea,0.021320780229356483,-0.247193898965952,0.007555643868202701,TRUE,TRUE,TRUE,50%
Macropygia nigrirostris,macropygia nigrirostris,macropygia_nigrirostris,-0.030199971604202378,-0.17995046138375523,0.00759131314627063,TRUE,TRUE,TRUE,50%
Ploceus golandi,ploceus golandi,ploceus_golandi,0.11075291166528436,-0.17567545282824276,0.0076090082079772765,TRUE,TRUE,TRUE,50%
Lamprotornis nitens,lamprotornis nitens,lamprotornis_nitens,0.0857713604480459,-0.13499747772229662,0.007624527927421209,TRUE,TRUE,TRUE,50%
Penelope jacquacu,penelope jacquacu,penelope_jacquacu,0.08288888319966083,-0.1330484836059146,0.007648588396258151,TRUE,TRUE,TRUE,50%
