species,annual_mean_temperature,annual_precipitation,maximum_temperature_warmest_month,mean_temperature_coldest_quarter,mean_temperature_driest_quarter,minimum_temperature_coldest_month,precipitation_in_coldest_quarter,precipitation_of_coldest_quarter,precipitation_of_wettest_quarter,precipitation_wetest_month,temperature_annual_range,temperature_seasonality
Pterodroma arminjoniana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma atrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma axillaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma baraui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma brevipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma cahow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma caribbaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma cervicalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma cookii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma defilippiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma deserta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma externa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma feae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma gouldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterodroma hasitata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
