species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Dendrocygna viduata,dendrocygna viduata,dendrocygna_viduata,-0.3481399988106255,-0.12066795662255267,0.04318830455337279,TRUE,TRUE,TRUE,50%
Geospiza scandens,geospiza scandens,geospiza_scandens,-0.18736755474155273,-0.17443713514079037,0.043616638488706186,TRUE,TRUE,TRUE,50%
Tauraco hartlaubi,tauraco hartlaubi,tauraco_hartlaubi,-0.4763551348654179,-0.3427570036294204,0.04364842815064847,TRUE,TRUE,TRUE,50%
Melaniparus leuconotus,melaniparus leuconotus,melaniparus_leuconotus,-0.16330942318361852,-0.2737128518982436,0.04381915911713856,TRUE,TRUE,TRUE,50%
Vidua hypocherina,vidua hypocherina,vidua_hypocherina,-0.23841452774627475,-0.3837444374506354,0.04401604496634122,TRUE,TRUE,TRUE,50%
Otus socotranus,otus socotranus,otus_socotranus,-0.16130824093849136,-0.24024634621100724,0.04414189743940724,TRUE,TRUE,TRUE,50%
Euscarthmus fulviceps,euscarthmus fulviceps,euscarthmus_fulviceps,-0.4160946305452592,-0.1454059536118788,0.04469400775363139,TRUE,TRUE,TRUE,50%
Quelea cardinalis,quelea cardinalis,quelea_cardinalis,-0.2396607190212297,-0.38796412089200677,0.04575301037257443,TRUE,TRUE,TRUE,50%
Emberiza socotrana,emberiza socotrana,emberiza_socotrana,-0.43932169945837996,-0.15916364882690873,0.046421637189260914,TRUE,TRUE,TRUE,50%
Tricholaema lacrymosa,tricholaema lacrymosa,tricholaema_lacrymosa,-0.16040325459684845,-0.28370782467249805,0.04645806331264742,TRUE,TRUE,TRUE,50%
Phoeniculus purpureus,phoeniculus purpureus,phoeniculus_purpureus,-0.1679578532778168,-0.19594382935839888,0.046667232995508005,TRUE,TRUE,TRUE,50%
Nannopterum brasilianum,nannopterum brasilianum,nannopterum_brasilianum,-0.31676922555147297,-0.11097966671987922,0.0468753938837546,TRUE,TRUE,TRUE,50%
Cuculus gularis,cuculus gularis,cuculus_gularis,-0.16585367680645072,-0.19569855942740794,0.04775712317610786,TRUE,TRUE,TRUE,50%
Scytalopus latrans,scytalopus latrans,scytalopus_latrans,-0.1543161272187717,-0.27142491795571516,0.04851418745053389,TRUE,TRUE,TRUE,50%
Celeus galeatus,celeus galeatus,celeus_galeatus,-0.4386514145230613,-0.3954852578237339,0.04861378321769068,TRUE,TRUE,TRUE,50%
Tockus erythrorhynchus,tockus erythrorhynchus,tockus_erythrorhynchus,-0.4959873651921799,-0.2367603723774978,0.048847608441407425,TRUE,TRUE,TRUE,50%
Cisticola bodessa,cisticola bodessa,cisticola_bodessa,-0.2943183212826241,-0.4170688753158246,0.04906770691718687,TRUE,TRUE,TRUE,50%
Geranoaetus albicaudatus,geranoaetus albicaudatus,geranoaetus_albicaudatus,-0.29301999104885385,-0.10803158588950955,0.049156780366195925,TRUE,TRUE,TRUE,50%
Geokichla guttata,geokichla guttata,geokichla_guttata,-0.459813902249213,-0.17291095017149785,0.04916400046065879,TRUE,TRUE,TRUE,50%
Pionopsitta pileata,pionopsitta pileata,pionopsitta_pileata,-0.4870525886146568,-0.34572150747135777,0.04944088402737422,TRUE,TRUE,TRUE,50%
Macronyx aurantiigula,macronyx aurantiigula,macronyx_aurantiigula,-0.2709661639663448,-0.1103153681282737,0.04984366320335965,TRUE,TRUE,TRUE,50%
Passer eminibey,passer eminibey,passer_eminibey,-0.34274481006431956,-0.42482342098153836,0.0499826957643382,TRUE,TRUE,TRUE,50%
Mackenziaena leachii,mackenziaena leachii,mackenziaena_leachii,-0.47017667340209474,-0.1810777217093296,0.050811106616836126,TRUE,TRUE,TRUE,50%
Coeligena helianthea,coeligena helianthea,coeligena_helianthea,-0.5061114963564157,-0.2859345018178289,0.05087765083732376,TRUE,TRUE,TRUE,50%
Attila phoenicurus,attila phoenicurus,attila_phoenicurus,-0.4962905256182536,-0.3331462441427069,0.05107920960739769,TRUE,TRUE,TRUE,50%
Myiotheretes fumigatus,myiotheretes fumigatus,myiotheretes_fumigatus,-0.394811226690829,-0.12111602025703687,0.051776894079227115,TRUE,TRUE,TRUE,50%
