x,y,level,level_probability
0.8783771294620024,1.8908883006598867,50%,0.5
0.835844884205061,1.922906666968574,50%,0.5
0.792784758193583,1.9539658557577897,50%,0.5
0.7492157655670224,1.9840521521641152,50%,0.5
0.7051571451660068,2.013152270926022,50%,0.5
0.6606283520370042,2.0412533622502655,50%,0.5
0.6156490488415234,2.0683430174859962,50%,0.5
0.5702390971736382,2.0944092746040655,50%,0.5
0.5244185487896597,2.1194406234791265,50%,0.5
0.4782076367538549,2.143426010972177,50%,0.5
0.43162676650408816,2.166354845811316,50%,0.5
0.3846965068413568,2.188217003268552,50%,0.5
0.33743758084718745,2.2090028296305957,50%,0.5
0.289870856732906,2.228703146461672,50%,0.5
0.24201733862482344,2.247309254656453,50%,0.5
0.1938981572894043,2.2648129382813447,50%,0.5
0.1455345608025166,2.2812064682024067,50%,0.5
0.09694790516687807,2.2964826054983223,50%,0.5
0.048159644881846875,2.310634604656902,50%,0.5
-8.086765302803278e-4,2.3236562165537147,50%,0.5
-0.04993543603728273,2.3355416912115174,50%,0.5
-0.09919894064513657,2.346285780339292,50%,0.5
-0.14857743697702921,2.355883739649738,50%,0.5
-0.19804912087904616,2.364331330954218,50%,0.5
-0.24759214704825888,2.371624824034221,50%,0.5
-0.2971846386790043,2.3777609982885237,50%,0.5
-0.34680469712306344,2.382737144155315,50%,0.5
-0.3964304115594897,2.386551064308664,50%,0.5
-0.44603986866980855,2.3892010746287977,50%,0.5
-0.4956111623143231,2.39068600494576,50%,0.5
-0.5451224032052492,2.391005199556125,50%,0.5
-0.5945517285724075,2.3901585175125386,50%,0.5
-0.6438773118172079,2.3881463326859556,50%,0.5
-0.693077372150662,2.3849695336005508,50%,0.5
-0.7421301842111642,2.380629523041369,50%,0.5
-0.7910140876578019,2.3751282174348978,50%,0.5
-0.8397074967349509,2.3684680460028242,50%,0.5
-0.8881889098039364,2.3606519496893625,50%,0.5
-0.9364369188375586,2.3516833798626107,50%,0.5
-0.984430218873263,2.3415662967905297,50%,0.5
-1.0321476174208204,2.330305167892197,50%,0.5
-1.0795680438203314,2.3179049657651194,50%,0.5
-1.1266705585464385,2.3043711659894766,50%,0.5
-1.528445411691024,3.641942746334119,80%,0.8
-1.5997035076984987,3.619601857060618,80%,0.8
-1.6704140148541313,3.5955525774356185,80%,0.8
-1.7405457093885437,3.5698055269439886,80%,0.8
-1.8100676231197177,3.542372074758417,80%,0.8
-1.8789490571276708,3.513264334719104,80%,0.8
-1.947159595310237,3.4824951599846354,80%,0.8
-2.01466911781396,3.450078137356387,80%,0.8
-2.081447814334172,3.4160275812789758,80%,0.8
-2.147466197278388,3.380358527519401,80%,0.8
-2.212695114787192,3.343086726527679,80%,0.8
-2.2771057636068814,3.304228636481884,80%,0.8
-2.3406697018081717,3.2638014160206796,80%,0.8
-2.4033588613453505,3.22182291666655,80%,0.8
-2.4651455604503374,3.1783116749430658,80%,0.8
-2.5260025158561765,3.1332869041896805,80%,0.8
-2.5859028548445515,3.086768486077661,80%,0.8
-2.6448201271120295,3.0387769618308984,80%,0.8
-2.7027283164497673,2.9893335231554827,80%,0.8
-2.7596018522315324,2.938460002882044,80%,0.8
-2.8154156207049814,2.886178865324987,80%,0.8
-2.8701449760811775,2.832513196362882,80%,0.8
-2.9237657514174806,2.7774866932443936,80%,0.8
-2.9762542692889893,2.7211236541242387,80%,0.8
-3.0275873522438213,2.6634489673338084,80%,0.8
-3.077742333037633,2.6044881003911815,80%,0.8
-3.1266970646428227,2.5442670887553835,80%,0.8
-3.1744299300280465,2.4828125243298613,80%,0.8
-3.2209198517036866,2.4201515437202494,80%,0.8
-3.2661463010290737,2.356311816251606,80%,0.8
-3.310089307277363,2.2913215317504205,80%,0.8
-3.3527294664540435,2.225209388096776,80%,0.8
-3.3940479498651888,2.158004578552178,80%,0.8
-3.4340265124316884,2.0897367788686294,80%,0.8
-3.472647500745757,2.0204361341846515,80%,0.8
-3.509893860866179,1.9501332457140452,80%,0.8
-3.545749145848853,1.8788591572332525,80%,0.8
-3.580197523009299,1.8066453413732981,80%,0.8
-3.6132237809139234,1.7335236857223648,80%,0.8
-3.644813336096962,1.6595264787451285,80%,0.8
-3.674952239500131,1.5846863955250843,80%,0.8
-3.703627182632129,1.509036483336148,80%,0.8
-3.7308255034453035,1.4326101470499104,80%,0.8
-3.7565351919268464,1.3554411343849855,80%,0.8
-3.7807448954020817,1.2775635210049707,80%,0.8
-3.803443923547487,1.1990116954715901,80%,0.8
-3.8246222531112357,1.1198203440596748,80%,0.8
-3.8442705323391877,1.0400244354406811,80%,0.8
-3.8623800851043564,0.9596592052415083,80%,0.8
