species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,mahalanobis_d2,inside_50_core,inside_80_core,inside_95_core,closest_core_level
Myiornis auricularis,myiornis auricularis,myiornis_auricularis,-0.3755225551971243,-0.06329028917482421,0.0068823987324415315,TRUE,TRUE,TRUE,50%
Quelea cardinalis,quelea cardinalis,quelea_cardinalis,-0.2396607190212297,-0.38796412089200677,0.006892597659531189,TRUE,TRUE,TRUE,50%
Serinus flavivertex,serinus flavivertex,serinus_flavivertex,-0.4965552411493439,-0.13058198335784665,0.006967600786195094,TRUE,TRUE,TRUE,50%
Jynx ruficollis,jynx ruficollis,jynx_ruficollis,-0.27658863054912175,-0.4189222263522461,0.007011986405636408,TRUE,TRUE,TRUE,50%
Anthoscopus punctifrons,anthoscopus punctifrons,anthoscopus_punctifrons,-0.47912328358950546,-0.10709502123655402,0.007051159911003989,TRUE,TRUE,TRUE,50%
Corvus orru,corvus orru,corvus_orru,-0.3147772920302701,-0.07188158177887767,0.007057444602179191,TRUE,TRUE,TRUE,50%
Drepanorhynchus reichenowi,drepanorhynchus reichenowi,drepanorhynchus_reichenowi,-0.2720783885626049,-0.41775454876725826,0.00710342692314836,TRUE,TRUE,TRUE,50%
Hellmayrea gularis,hellmayrea gularis,hellmayrea_gularis,-0.3215460939348897,-0.06826662331058188,0.0071411781245418575,TRUE,TRUE,TRUE,50%
Geospiza fuliginosa,geospiza fuliginosa,geospiza_fuliginosa,-0.21637214803419466,-0.1578185751585591,0.0072329483866464955,TRUE,TRUE,TRUE,50%
Scytalopus speluncae,scytalopus speluncae,scytalopus_speluncae,-0.5126023028312552,-0.14643165737917338,0.00744541512682913,TRUE,TRUE,TRUE,50%
Aquila spilogaster,aquila spilogaster,aquila_spilogaster,-0.19469057329787676,-0.20350645648304364,0.0074658791151393355,TRUE,TRUE,TRUE,50%
Tinamus solitarius,tinamus solitarius,tinamus_solitarius,-0.27442886548164463,-0.08737069012007327,0.007510383084766104,TRUE,TRUE,TRUE,50%
Geospiza magnirostris,geospiza magnirostris,geospiza_magnirostris,-0.21577849347123265,-0.15149695614640732,0.007546548034682989,TRUE,TRUE,TRUE,50%
Trogon surrucura,trogon surrucura,trogon_surrucura,-0.2519550331173884,-0.10464186826977612,0.00759362067242662,TRUE,TRUE,TRUE,50%
Gymnoris pyrgita,gymnoris pyrgita,gymnoris_pyrgita,-0.35470479722483866,-0.44500135113264233,0.0076334884337439695,TRUE,TRUE,TRUE,50%
Caprimulgus donaldsoni,caprimulgus donaldsoni,caprimulgus_donaldsoni,-0.3137093900222806,-0.4425167026318222,0.007699853498702698,TRUE,TRUE,TRUE,50%
Ciconia maguari,ciconia maguari,ciconia_maguari,-0.5270004757868044,-0.29657078115854973,0.007710750207507739,TRUE,TRUE,TRUE,50%
Crithagra dorsostriata,crithagra dorsostriata,crithagra_dorsostriata,-0.5346394375470985,-0.25774294109035034,0.0077193148399910564,TRUE,TRUE,TRUE,50%
Netta erythrophthalma,netta erythrophthalma,netta_erythrophthalma,-0.465219830350041,-0.08297163788189456,0.007738109850132227,TRUE,TRUE,TRUE,50%
Tangara seledon,tangara seledon,tangara_seledon,-0.3247693192489871,-0.05927343955778964,0.007740693768476833,TRUE,TRUE,TRUE,50%
Colaptes rivolii,colaptes rivolii,colaptes_rivolii,-0.29682043230242683,-0.06927082667065909,0.007837571744833814,TRUE,TRUE,TRUE,50%
Phaethornis eurynome,phaethornis eurynome,phaethornis_eurynome,-0.4167969540783836,-0.05670073455440703,0.007869406522555283,TRUE,TRUE,TRUE,50%
Dendropicos fuscescens,dendropicos fuscescens,dendropicos_fuscescens,-0.18840381623271865,-0.20925682505015544,0.007872366138723531,TRUE,TRUE,TRUE,50%
Mirafra albicauda,mirafra albicauda,mirafra_albicauda,-0.19036196328638275,-0.3246275438009038,0.007873542740221227,TRUE,TRUE,TRUE,50%
Geospiza fortis,geospiza fortis,geospiza_fortis,-0.20115316846376038,-0.17115779940884,0.007904354226519025,TRUE,TRUE,TRUE,50%
Vanellus spinosus,vanellus spinosus,vanellus_spinosus,-0.27058770763234624,-0.4298103047937547,0.007966770762612613,TRUE,TRUE,TRUE,50%
Dryoscopus pringlii,dryoscopus pringlii,dryoscopus_pringlii,-0.18353417126814742,-0.30100390617212014,0.007982913735836776,TRUE,TRUE,TRUE,50%
Heliangelus regalis,heliangelus regalis,heliangelus_regalis,-0.4535724323642931,-0.4120754521790696,0.008010070169050833,TRUE,TRUE,TRUE,50%
Haplospiza unicolor,haplospiza unicolor,haplospiza_unicolor,-0.4284778434788597,-0.058543945137717254,0.008026063548350702,TRUE,TRUE,TRUE,50%
Hylophilus poicilotis,hylophilus poicilotis,hylophilus_poicilotis,-0.5320269826146579,-0.2927081943145101,0.008053426857032784,TRUE,TRUE,TRUE,50%
Numida meleagris,numida meleagris,numida_meleagris,-0.17927118252213708,-0.2833099789215303,0.008157307760318649,TRUE,TRUE,TRUE,50%
Veniliornis spilogaster,veniliornis spilogaster,veniliornis_spilogaster,-0.47670889482133993,-0.08463771340816355,0.008210702246490748,TRUE,TRUE,TRUE,50%
Monticola imerina,monticola imerina,monticola_imerina,-0.5332272243237556,-0.16953181204288334,0.008347870936941,TRUE,TRUE,TRUE,50%
Passer insularis,passer insularis,passer_insularis,-0.1781018320647132,-0.23158633112736046,0.008402660979392271,TRUE,TRUE,TRUE,50%
Paragallinula angulata,paragallinula angulata,paragallinula_angulata,-0.18094288798437266,-0.21384640575544764,0.008438315477480994,TRUE,TRUE,TRUE,50%
Pogonotriccus eximius,pogonotriccus eximius,pogonotriccus_eximius,-0.24443094500668697,-0.09812830498680632,0.008458564121138636,TRUE,TRUE,TRUE,50%
Laniarius funebris,laniarius funebris,laniarius_funebris,-0.23025744237180243,-0.4071990074184038,0.00849405959224775,TRUE,TRUE,TRUE,50%
Onychognathus frater,onychognathus frater,onychognathus_frater,-0.17512708041169714,-0.23290763495751826,0.008659456272826825,TRUE,TRUE,TRUE,50%
Columba delegorguei,columba delegorguei,columba_delegorguei,-0.5222201485673995,-0.13362336747648768,0.008662242808765609,TRUE,TRUE,TRUE,50%
Tockus deckeni,tockus deckeni,tockus_deckeni,-0.20480865779816487,-0.379025670777184,0.00869224624627403,TRUE,TRUE,TRUE,50%
