species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Paroaria dominicana,paroaria dominicana,paroaria_dominicana,0.6319271389855522,-0.533048566916874,-0.6319271389855522,2.1675526414951043,0.07390619896866543,-0.533048566916874,-0.2280070671965622,-0.15466654711889058,-0.08102266626662413,-0.035812550985420646,-0.014810483621559267,0.0010456704459821332,-1.229287239694635e-5,-2.865930068981271e-17
Diuca diuca,diuca diuca,diuca_diuca,-3.2656414656273456,-0.8252039070206998,3.2656414656273456,0.10780641982080814,0.6605041740893555,-0.8252039070206998,-0.15542773341031013,0.2037347691301462,-0.06677606920629396,0.008244414958564079,-0.0025838380703875874,-0.01042114105310236,-2.7155455376769584e-5,-4.9317976147458005e-17
Gubernatrix cristata,gubernatrix cristata,gubernatrix_cristata,-2.5737524960364455,-0.4192361598294295,2.5737524960364455,0.9766646936557252,-0.09775736047421808,-0.4192361598294295,0.23598121591191204,-0.26521148417438145,0.02668195343474636,0.009451318139096516,0.0028590533002459495,0.004348122523227783,-7.938567741948024e-6,1.005458933292987e-16
Neothraupis fasciata,neothraupis fasciata,neothraupis_fasciata,0.4173215008008366,0.237340325186834,-0.4173215008008366,1.7882351101691218,0.1055398708153176,0.237340325186834,-0.06937936689280623,-0.10206819259335356,0.07747312964492871,-0.049008183226739166,-0.029553521988144912,0.0033013295985837095,9.59050529942231e-7,4.850656786964579e-16
Lophospingus griseocristatus,lophospingus griseocristatus,lophospingus_griseocristatus,-2.7065744115147945,0.10904147629301122,2.7065744115147945,0.14310014186708042,1.7145062548324854,0.10904147629301122,-0.24225119056756497,-0.1399320895275999,0.11154444941775286,0.15436718819876344,-0.0014712759955519037,0.006550786215493811,-5.133111544090885e-5,-3.4711230963886294e-16
Lophospingus pusillus,lophospingus pusillus,lophospingus_pusillus,-2.008548142180948,-0.12676266317153922,2.008548142180948,1.8092900312626292,-0.14657738737417295,-0.12676266317153922,0.18428264179753526,-0.24014305718039233,-0.02980971733923845,0.06847015389046845,-0.010385968680946496,-0.019229658282717624,1.8254951845953966e-5,-2.3718769646539417e-17
Schistochlamys melanopis,schistochlamys melanopis,schistochlamys_melanopis,1.0633429071334008,0.05495471468827882,-1.0633429071334008,1.0827769184872271,-0.13143089331287966,0.05495471468827882,-0.13029816371731034,-0.07970449596554575,0.03002580528258894,-0.016620154693002733,-0.035002218962933644,0.00145371276219576,7.423773657858856e-7,7.047373192919425e-17
Schistochlamys ruficapillus,schistochlamys ruficapillus,schistochlamys_ruficapillus,0.8462982427130112,-0.0800175053473925,-0.8462982427130112,1.1573886413878636,-0.06598764271253102,-0.0800175053473925,-0.16787967445611704,-0.11562134358292936,3.5394115671849493e-4,-0.037939516929494294,-0.02984275260856197,0.0031825256311281687,-3.7988186039695946e-6,7.160862946322185e-17
Cissopis leverianus,cissopis leverianus,cissopis_leverianus,2.048289602955102,-0.24823304285815131,-2.048289602955102,-0.10226707114329911,-0.21022194497675706,-0.24823304285815131,0.03655093170517784,-0.04174709057389191,0.06719865662747017,-0.004226968943159043,-0.01982594972906708,8.237476567572674e-4,6.4234894717807755e-6,-2.686004674905334e-16
Stephanophorus diadematus,stephanophorus diadematus,stephanophorus_diadematus,-0.7455375904633197,-0.3980156723272662,0.7455375904633197,0.17521765610072534,0.11568392281284771,-0.3980156723272662,0.24346895195822124,0.009374349819397963,0.0888624606186935,0.0681095508521533,0.01723853437437115,0.011022101664543215,2.6444717297620734e-5,-1.5028224593888454e-16
Chlorochrysa calliparaea,chlorochrysa calliparaea,chlorochrysa_calliparaea,0.7402181581365888,-0.2747833434453782,-0.7402181581365888,-0.48636047868661303,0.8119158605215689,-0.2747833434453782,0.14546260269534333,0.030009525226112527,0.27220358968084313,0.007365030754497762,0.01653378740209135,-0.003890813499887208,-9.737881250437166e-6,-1.9274872025774693e-17
Chlorochrysa nitidissima,chlorochrysa nitidissima,chlorochrysa_nitidissima,1.9687953507936857,-0.36160748704632095,-1.9687953507936857,-1.9249345684633934,0.5676878907887316,-0.36160748704632095,0.04984137318498377,0.016168099641991257,0.1325454536377524,-0.021687268912100273,0.0026151634209206492,2.835130582962592e-4,2.6804514722535836e-6,-3.252103715618199e-16
Chlorochrysa phoenicotis,chlorochrysa phoenicotis,chlorochrysa_phoenicotis,2.3804630060082714,-0.44776478449072277,-2.3804630060082714,-2.407158856469744,0.316546076355314,-0.44776478449072277,0.0029344492770956836,0.023350316006304824,0.15852050790558578,0.010601870023298801,0.00890579837769647,0.0053113547098845556,-1.6655195044091906e-5,-6.440276664475436e-16
Anisognathus igniventris,anisognathus igniventris,anisognathus_igniventris,-1.1497706683288234,0.9143115981811134,1.1497706683288234,-1.1350597476698028,1.93263207641583,0.9143115981811134,-0.12852587670970272,0.06807090744884434,0.06611128400052105,0.06610517207864304,-0.0072653789966884525,1.240285530397943e-4,-1.731331059562715e-5,2.3531461533971824e-16
Anisognathus lacrymosus,anisognathus lacrymosus,anisognathus_lacrymosus,-0.1623493848660951,-0.04564456355099924,0.1623493848660951,-1.221521023022955,1.678325162796692,-0.04564456355099924,-0.07946010382186065,0.04218805703387935,0.1904762052822094,-0.0035123097314324627,0.006006564390959122,-0.004180311224348974,1.161650192182568e-5,1.588724990061593e-17
